0	0	0	1 2 0 6 7 3 4 5 
13	1	12	1 2 6 0 7 3 4 5 
12	2	10	1 2 6 5 7 3 4 0 
13	1	12	1 2 4 6 7 3 0 5 
12	2	10	1 2 4 6 7 3 5 0 
13	3	10	1 2 4 0 7 3 5 6 
14	4	10	1 2 6 4 7 3 0 5 
13	5	8	1 2 6 4 7 3 5 0 
14	2	12	1 2 4 6 7 0 3 5 
14	4	10	1 2 6 7 0 3 4 5 
14	4	10	1 2 6 5 0 3 4 7 
14	4	10	1 2 0 4 7 3 5 6 
14	6	8	1 2 6 7 5 3 4 0 
15	3	12	1 2 6 5 7 3 0 4 
15	5	10	1 2 5 4 7 3 0 6 
14	6	8	1 2 5 4 7 3 6 0 
15	7	8	1 2 6 7 5 3 0 4 
15	7	8	1 0 6 5 2 3 4 7 
14	8	6	1 3 6 5 2 0 4 7 
13	9	4	1 3 6 5 2 4 0 7 
14	10	4	1 3 6 5 2 4 7 0 
14	10	4	1 3 0 5 2 4 6 7 
13	11	2	1 3 5 0 2 4 6 7 
